label,pattern
gonad_len,gonad len
gonad_len,gonad length
gonad_len,gonadlen
gonad_len,gonadlength
gonad_len_mm,gonad len im mm
gonad_len_mm,gonad len mm
gonad_len_mm,gonad length in mm
gonad_len_mm,gonad length mm
gonad_len_mm,gonadlengthinmm
gonad_len_mm,gonadlengthmm
gonad_len_mm,gonadleninmm
gonad_len_mm,gonadlenmm
gonad_width,gonad width
gonad_width,gonadwidth
gonad_width_mm,gonad width in mm
gonad_width_mm,gonad width mm
gonad_width_mm,gonadwidthinmm
gonad_width_mm,gonadwidthmm
